CUI,mention
C0150457,as ultimately disch
C0034107,ng edema and
C0699992,.i.d.
C0032821,ic acid r
C0302583,din
C0556110,"ND C. ALL , M.D. TR :"
C0699129,mot DD :
C0018801,aluation demo
C0205329,re and an e
C0026269,vere pulmonary
C0332271,is with s
C0020542,. Because of her deter
C0205082,ension
C0205156,ation
C0018795,", which confirmed sever"
C0026269,ondary tricuspi
C0205082,ith se
C0040961,ation due to pulmonary hypert
C0175668,e regurgi
C0205156,olizatio
C0472529,for treatment of recurrent
C0014591,al gastre
C2945760,ad a part
C0013216,uded Coumad
C0457453,"n , digoxin"
C0004906,EXAMINAT
C0021461,ON demo
C1301772,ated mild
C0031809,elevation o
C0205250,"s pulse ,"
C2945599,veno
C0232257,. Perip
C0232257,re all
C0232262,pulses were all
C0230420,AL C
C0277919,"gs , with som"
C0443172,edema
C0013604,atien
C0205392,The
C0085631,an Inten
C0205265,"d , large"
C0750482,y due to
C0002871,din wa
CUI-less,s . Coum
C0013604,DISC
C1272748,CATIONS O
C0013216,", b.i.d. ,"
C3871203,"otassium , 2"
C0000737,ABDOMINAL PAIN
C0281936,PARTIAL SMALL BOWEL OBSTRUCTION
C1282272,a low anterior resection
C0034897,a recurrence
C2939419,metastasis
C0030193,the pain
C0027497,nausea
C0042963,vomiting
C0011991,diarrhea
C0426737,decreased output from the ostomy
C0030193,the pain
C0086787,Percocet
C0700017,Naprosyn
C0935966,Demerol
C0204688,Temperature
C0034107,heart rate
C0005824,blood pressure
C0523807,oxygen saturation
C0004339,auscultation
C0018808,murmurs
C0426675,tympanic
C0578093,midepigastric tenderness
C0030247,palpation
C0234246,rebound
C1955856,The ostomy
C0182097,the ostomy bag
C2711635,guaiac
C0013604,edema
C1261322,Assessment
C0022885,laboratory studies
C0023508,white blood cell count
C0018935,hematocrit
C0032181,platelets
C0373670,lipase
C0203102,KUB
C0577028,multiple dilated loops of small bowel
C0281936,partial small bowel obstruction
C0085678,An nasogastric tube
C0019593,an H2 blocker
C4039064,bowel rest
C1829459,decompression
C0085678,the nasogastric tube
C0085678,The nasogastric tube
C0030193,The pain
C2184084,clear liquid diet
C0592278,Zantac
C0037138,Simethicone
C2945760,recurrent
C2939419,metastasis
C2945599,mildly
C0038999,distended
C0205392,some
C0547040,minimal
C0004604,back pain
C0445204,preoperative
C0013216,medications
C0232493,midepigastric abdominal pain
C0205094,anterior
C0023985,diverting ileostomy
C0227388,left colon
C0442805,spikes
C0015967,fever
C0267055,erosive esophagitis
C0007203,CPR
C0397419,defib
C0010200,cough
C0017887,NITROGLYCERIN
C0008031,chest pain
C0871470,SBP
C0917801,insomnia
C0018546,HALOPERIDOL
C0282386,LEVOFLOXACIN
C0018546,HALOPERIDOL
C0282386,LEVOFLOXACIN
C0282386,LEVOFLOXACIN
C0018546,HALOPERIDOL
C0282386,LEVOFLOXACIN
C0018546,HALOPERIDOL
C0028978,OMEPRAZOLE
C0004147,ATENOLOL
C0018926,hematemesis
C0267055,erosive esophagitis
C0005001,bph ( benign prostatic hypertrophy )
C0020258,nph
C0020255,hydrocephalus
C0497327,dementia ( dementia )
C0079304,Esophagogastroduodenoscopy
C0018926,hematemesis
C0041296,TB
C0006826,CA
C0013404,SOB
C0015967,fever
C0011168,dysphagia
C0008031,chest pain
C0034107,HR
C0005824,BP
C0523807,O2sat
C0018935,Hct
C0039985,CXR
C0202823,Chest CT
C0014854,esophageal diverticulum
C0006826,malignancy
C0151701,alveolar hemorrhage
C0232077,aspirated blood
C0011923,scans
C0018926,hematemesis
C0358591,PPI
C2184084,clear liquids
C0079304,EGD
C0301569,a soft mechanical diet
C0028978,omeprazole
C0008031,CP
C0262384,atypical chest pain
C0201973,CK
C0008031,CP
C0005824,BP
C0003364,BP meds
C0150404,VS
C0019080,bleeding
C0700776,lopressor
C0004147,atenolol
C0282386,Levo
C0699678,flagyl
C0032290,aspiration pneumonia
C3714636,pneuomonitis
C0178879,obstructive uropathy
C2919339,UOP
C1970989,foley
C0005845,Bun
C0201975,Cr
C2184084,clear liquids
C0019080,bleed ing
C0582114,DNR
C0007203,CPR
C0150126,airway protection
C0205161,abnormal
C1261322,evaluation
C0239293,an esophageal bleed
C0019080,bleeding
C0333307,these erosions
C0420266,further studies
C0205161,abnormal
C0005558,biopsies
C0006826,malignancy
C0028978,Omeprazole
C0282386,LEVOFLOXACIN
C0205404,SERIOUS
C0687133,INTERACTION
C0205404,SERIOUS
C0687133,INTERACTION
C0591585,HALDOL
C0021492,IM
C0205404,SERIOUS
C0687133,INTERACTION
C0591585,HALDOL
C2316867,PO
C0205404,SERIOUS
C0687133,INTERACTION
C0262580,No Known Allergies
C0205090,right
C1720771,scrotal hydrocele
C0230145,substernal
C2364135,discomfort
C1261075,RLL
C0332448,infiltrate
C0580836,old
C0238767,B
C0225756,upper lung field
C0018188,granulomas
C0227191,distal 1/3 of esophagus
C0205400,thickened
C0225692,alveolar
C1265876,opacities
C0439064,multiple
C0205207,cystic
C2937230,hypodensities
C0023884,liver
C0439064,mulitple
C0205132,linear
C0333307,non-bleeding
C0333307,erosions
C0205271,irregular
C0205113,circumfrencial
C0301569,diet
C0301569,soft-mechanical
C0849584,follow-up
C1959831,intra-esophageal ultrasound
C0205392,some
C0341117,erosions in the esophagus
C0205555,special
C0013216,medications
C0019080,bleeding
C0442808,increasing
C2364135,discomfort
C0205156,previous
C0013216,medications
C0549178,continued
C0019080,bleeding
C0699678,FLAGYL
C0025872,METRONIDAZOLE
C0487782,AMBIEN
C0724725,ZOLPIDEM TARTRATE
C0041582,ulcer
C0014871,GE junction
CUI-less,ROBITUSSIN
C0018305,GUAIFENESIN
CUI-less,further
C0203075,barium enema
C0041618,The ultrasound
C0003962,ascites
C0347944,pelvic mass
C1828115,the 3C ovarian carcinoma
C0198614,an omentectomy
C0020883,ileostomy
C0010583,Cytoxan
C0008838,Cisplatin
C1706406,debulking
C0404079,a total abdominal hysterectomy/
C0195495,bilateral salpingo-oophorectomy
C0198614,omentectomy
C0037995,splenectomy
C0193063,rectosigmoid resection
C0192775,a take down of the ileostomy
C0400056,ileal cecal resection
C0458084,MDR
C0008838,Cisplatin
C0733688,VP 16
C0162575,an embolectomy
C0699129,Coumadin
C0699194,Ativan
C0065164,Lomotil
C0577625,shellfish allergy
C0571817,an Iodine allergy
C0031809,physical exam
C0005824,The blood pressure
C0034107,heart rate
C1261467,weight
CUI-less,"The head , eyes , ears , nose , throat exam"
C0002170,alopecia
C0520960,nontender
C0031809,exam
C0023508,a white blood cell
C0200633,ANC
C0018935,hematocrit
C0032181,platelets
C0005845,BUN
C0201975,creatinine
C0373675,magnesium
C0201925,calcium
C2316467,packed red blood cells
C0018935,her hematocrit
C0024467,a magnesium
C3665472,chemotherapy
C0008838,Cisplatin
C0733688,VP 16
C3665472,chemotherapy
C0699129,Coumadin
C0033707,The patient &apos;s pro time
C0456081,adjustments
C0420266,further evaluation
C0020538,her hypertension
C0583980,further management
C3665472,chemotherapy
C0699129,Coumadin
C0699194,Ativan
C0065164,Lomotil
C0262581,no known drug allergies
CUI-less,no acute distress
C0238767,bilateral
C0562319,cardiac exam
C2945599,mild
C3164167,left upper quadrant tenderness
C0750502,significant
C0497156,lymphadenopathy
C0733688,VP 16
C0008838,Cisplatin
C3665472,chemotherapy
C0205549,Serial
C0033707,PTs
C0205265,initial
C0033707,PT
CUI-less,further
C0033707,pro time checks
C0205392,some
C0020538,hypertension
C0205156,prior
C3665472,chemotherapy
C0334361,PAPILLARY SEROUS CARCINOMA
C1828115,STAGE 3C
C1828115,CARCINOMA OF THE OVARY
C0334361,papillary serous carcinoma
C1828115,Stage 3C
C1828115,carcinoma of the ovary
C0555220,stenotic area
C0555220,sigmoid
C0227391,sigmoid
C0444598,mid
C0205170,well
C0205249,healed
C0549183,midline
C0577123,abdominal scar
C0205394,other
C0230184,lower quadrant
C0733688,VP 16
C0574032,infusion
C0234233,tenderness
C0020538,hypertension
C1268768,poor dentition
C0009068,Suture
C0023418,leukemia
C0020538,hypertension
C1268768,poor dentition
C0150404,The vital signs
C0204688,temperature
C0034107,heart rate
C0005824,blood pressure
C1443397,respirations
CUI-less,"The head , eyes , ears , nose , throat examination"
C1827285,an entry wound
C0332696,powder burn
C0040405,the computerized tomography scan
C0497156,adenopathy
C0004339,auscultation
C0577816,The heart sounds
C0018808,murmur
C0232267,rub
C0232200,gallop
C0520960,nontender
C0577599,nondistended
C0019214,hepatosplenomegaly
C1265602,masses
C0577154,the bowel sounds
C0149651,clubbing
C0010520,cyanosis
C0013604,edema
C0031809,examination
C1828051,poor ability for abstract thinking
C0702182,the extra ocular movements
C1287940,The deep tendon reflexes
C0587355,A panel of serum electrolytes
C0023508,The white blood count
C0018935,hematocrit
C0032181,the platelets
C0043159,Blood coagulation times
C0162401,Leukocyte differential count
C0580937,A panel of serum enzymes
C0202691,A computerized tomography scan of the head
C0430456,Standard 12 lead electrocardiogram
C0034107,a rate
C1997940,Nonspecific ST segment and T wave abnormalities
C0043252,the patient &apos;s gunshot wound
C0204732,suicide precautions
CUI-less,testing
C0035260,2 point restraints
C0005824,his blood pressure
C0006938,Captopril
C0028066,Nifedipine
C0005824,his blood pressure
C0581528,Close monitoring
C0005824,his blood pressure
C0150270,his dosage regimen
C0204480,full Psychiatric evaluation
C1320527,intense psychiatric care
C0699512,Dilantin
C0067044,Mylanta
C0013395,Dyspepsia
C0024476,Milk of Magnesia
C0009806,constipation
C0008783,Cimetidine
C0018546,Haloperidol
C0085631,agitation
C0282139,Colace
C0006938,Captopril
C0028066,Nifedipine
C0028066,Nifedipine
C0277884,systolic blood pressure greater than 160 millemeters of Mercury
C0262581,no known drug allergies
CUI-less,no acute distress
C0018670,HEAD
C0043252,GUNSHOT WOUND
C0480203,SELF INFLICTED
C0480203,WOUND
C0018670,head
C0043252,gunshot wound
C0480203,Self inflicted
C0480203,wound
C0228232,right temporal head
C0273239,head wound
C0018670,head
C0043252,gunshot wound
C0480203,self inflicted
C0480203,wound
C0455204,homicidal ideation
C0424000,suicidal
C0424000,ideation
C0228207,right parietal region
C0577559,lump
C1442861,bruising about the eyes
C0423514,bruising
C0423514,mastoid sinuses
C1260880,fluid from
C1260880,nose
C0155540,fluid from
C0155540,ears
C1278213,toxic screen
C0420643,Serum toxic screen
C0037304,skull fracture
C0205101,external
C0700321,small
C0228207,right parietal
C0009938,contusion
C0232320,anteroseptal myocardial infarction
C0677546,old
C1289919,intravenous fluid
C0021440,infusion
C0021440,intravenous
C0542537,poor
C1287078,R wave progression
C0200633,neutrophils
C0200635,lymphocytes
C0200637,monocytes
C0200638,eosinophils
C0200641,basophils
C0018681,Headache
C0004057,ACETYLSALICYLIC ACID
C0699440,LABETALOL HCL
C0871470,SBP
C0034107,HR
C0871470,SBP
C0074554,SIMVASTATIN
C0027996,NIACIN
C0027996,VIT. B-3
C3236097,NEPHROCAPS PO
C0074554,SIMVASTATIN
C0027996,NIACIN
C0457987,Renal diet
C0019004,Hemodialysis
C0262580,NKA
C0700053,IHSS
C0004238,AF
C0022661,ESRD
C0019004,HD
C0017661,IgA nephropathy
C0024117,COPD
C0030163,pacemaker
C0004238,afib
C1704272,BPH
C0040771,TURP
C0020538,HTN
C0020676,hypothyroidism
C0018099,gout
C0032739,positive PPD
C0026266,MR
C0019004,Hemodialysis
C0017661,IgA nephropathy
C0424605,developmental delay
C0019004,HD
C1396002,&quot; raccoon eyes &quot;
C0202691,Head CT
C0019080,bleed
CUI-less,Trauma series
C0041657,loc
C0013819,EEG
C0554757,carotid u / s
C0202691,head ct
C0428861,fixed defect
C0022661,ESRD
C0020835,IgA
C0358591,PPI
C1998174,nodal ablation
C0020538,HTN
C0024117,COPD
C0020676,hypothyroid
C0020564,hypertrophic
C0204688,T
C0005824,BP
C0034107,p
C0523807,Pox
C1396002,raccoon eyes
C0520960,NT
C0015230,rashes
C0021368,inflammation
C0202194,K
C0201975,Creat
C0920210,Trop-I
C1254541,INR
C1096012,telemetry
C0030163,his pacemaker
C0430462,a TTE
C0087086,a thrombus
C0430462,His TTE
C0232174,EF
C0520863,abnormal diastolic function
C0002726,amyloidosis
C0201720,an SPEP
C0201888,ACE test
C0554757,carotid ultrasound studies
C1261287,stenosis
C0019004,HD
C0201992,electrolytes
C0020651,orthostatic hypotension
C0011946,dialysis
C0022658,his renal disease
C0523952,His troponins
C0948089,ACS
C0039070,syncope
C0678181,his zocor
C0591301,cozaar
C0022860,labetalol
C0699129,his coumadin
C3875112,bleeding risk
C0004057,His aspirin
C0202230,TSH
C2004480,a macrocytosis
C0202252,His B12 level
C0042847,B12 deficiency
C0236663,EtOH WD
C0236663,alcohol withdrawal
C0024117,COPD
C0030054,oxygen
C0156273,bladder diverticula
C0203307,a follow up ultrasound
C0011923,imaging
C0042014,The patient &apos;s urinalysis
C0201112,A c.difficile test
C0085639,falls
C0018681,headache
C0547030,visual changes
C0151786,muscle weakness
C0008031,chest pain
C0013404,shortness of breath
C0019004,Hemodialysis
C0699129,coumadin
C0156273,bladder diverticula
C0018941,blood tests
C0011560,amyloid
C0027996,VIT . B-3
C0205404,SERIOUS
C0687133,INTERACTION
C0205404,SERIOUS
C0687133,INTERACTION
C0935625,fat pad
C0198500,abdominal
C0198500,biopsy
C0027853,neuro w / u
C0332185,Recent
C0038454,stroke
C0677546,old
C0430471,MIBI
C0012963,dobutamine
C0205343,reversible
C0225910,inferolateral
C0700321,small
C0016540,forehead
C0549177,large
C0018944,hematoma
C1720243,1+ edema
C0238767,b / l
C0441471,events
C1096012,telemetry
C0085612,ventricular arrhythmia
C0332185,recent
C0205081,moderate
C0149721,LVH
C0439744,c
C0026266,MR
C0205081,moderate
C0040961,TR
C0205081,moderate
C0205082,severe
C0238705,LAE
C0878544,cardiomyopathy
C0332448,ionfiltrative
C0935625,fat pad
C0198500,abdominal
C0198500,biopsy
C0201721,UPEP
C0201910,Beta 2 microglobulin
C0205343,reversible
C0022116,ischemia
C0332185,recent
C0430471,MIBI
C0549178,persistently
C0523952,troponins
C0205250,elevated
C0031117,peripheral neuropathy
C0230420,BLE
C1278213,toxicology screen
C0229671,serum
C0032227,pleural effusion
C0205090,R
C0205090,R
C0748283,complex renal cyst
C0444507,incidental
C1274040,findings
C0015733,fecal
C0023516,leukocytes
C0003232,antibiotic
C0332185,recent
C1524063,use
C0203408,ultrasound
C0203408,kidney
C0412547,ultrasound
C0412547,bladder
C3887499,kidney cyst
C0205090,right
C0935625,fat pad
C0198500,abdominal
C0198500,biopsy
C0699142,TYLENOL
C0000970,ACETAMINOPHEN
C0722621,PHOSLO
C0717537,CALCIUM ACETATE
C3223929,FLOVENT HFA
C0117996,FLUTICASONE PROPIONATE
C0591301,COZAAR
C0126174,LOSARTAN
C0306965,NEPHROCAPS
CUI-less,NEPHRO-VIT RX
C0678181,ZOCOR
C0074554,SIMVASTATIN
C0205090,right
C0000737,abdominal pain
C0007203,CPR
C0397419,defib
C0021925,intubation
C0042397,pressors
C0354688,ALBUTEROL INHALER
C0013404,Shortness of Breath
C0043144,Wheezing
C0009806,Constipation
C0017628,GLYBURIDE
C0022957,LACTULOSE
C0011991,diarrhea
C3232296,SENNA TABLETS
C0037138,SIMETHICONE
C0577089,gas
C0235309,upset stomach
C0039286,TAMOXIFEN
C1271155,LEVOFLOXACIN PO
C0079589,TAMOXIFEN CITRATE
C0282386,LEVOFLOXACIN
C0979545,PILOCARPINE 4% SOLUTION
C4257080,FLONASE ( FLUTICASONE NASAL SPRAY )
C0302583,iron products
C0282386,a levofloxacin
C0008809,ciprofloxacin
C0311131,tube feeds
C0079589,TAMOXIFEN CITRATE
C0282386,LEVOFLOXACIN
C0719097,CALCIUM CARB + D
C0007562,CEFUROXIME
C0000737,abdominal pain
C0000737,abdominal pain
C3539909,Allergies
C0220892,PCN
C0015230,rash
C0591139,Bactrim
C0042109,hives
C0014806,Erythro
C0027497,nausea
C0007537,Ceclor
C0027497,nausea
C0055856,Clarythro
C0015230,rash
C0032371,poliomyelitis
C0006142,breast CA
C0039286,tamoxifen
C2911574,vent dependent
C0559400,an iron lung
C0000737,abdominal pain
C0232493,epigastric pain
C0030193,Pain
C0015967,any fever
C0018932,BRBPR
C0025222,melena
C0013428,dysuria
C0204688,T
C0034107,HR
C0005824,BP
C1443397,R
C0523807,Sat
CUI-less,4L
C0031809,Exam
C0232694,hyperactive bowel sounds
C0000731,abd distention
C0234233,tenderness
C0234246,rebound
C0427198,guarding
C0412620,Abd CT
C4019039,ileus
C0150155,bowel regimen
C3489575,Senna
C0126774,magcitrate
C0022957,Lactulose
C0000731,Her abd distention
C0234233,tenderness
C0282386,Levo
C0042029,UTI
C0034359,pyuria
C0559400,iron lung
C0003968,VITAMIN C
C0003968,ASCORBIC ACID
C0721702,MIACALCIN
C0073994,CALCITONIN - SALMON
C0126774,1MAG CITRATE
C0126774,CITRATE OF MAGNESIA
C0282139,COLACE
C0243237,DOCUSATE SODIUM
C3661835,MVI THERAPEUTIC W / MINERALS
C3661835,THERAP VITS / MINERALS
C0594452,ALPHAGAN
C0077768,BRIMONIDINE TARTRATE
C0282386,LEVOFLOXACIN
C0719199,CELEXA
C0008845,CITALOPRAM
C0939372,LUMIGAN
C0937917,BIMATOPROST
C0030247,palpation
C0230180,LLQ
C0205404,SERIOUS
C0687133,INTERACTION
C0205404,SERIOUS
C0687133,INTERACTION
C0692710,600MG
C0692710,CA + VIT D/200 IU
C3853260,ELEM
C0012359,distended
C1305188,right colon
C0000737,abdominal pain
C0009806,constipation
C0332281,related
C0011854,insulin dependent diabetes mellitus
C4303631,a right above-knee amputation
C0085671,dressing changes
C0011079,debridement
C0003232,antibiotics
C0008809,Ciprofloxacin
C0002688,an amputation
C0420266,further evaluation
C0011854,insulin dependent diabetes mellitus
C4303631,right above-knee amputation
C0699142,Tylenol
C0008809,Ciprofloxacin
C0021641,Insulin
C0021658,NPH
C0489633,review of systems
C0015967,fevers
C2141243,pain in the left foot
C0013404,shortness of breath
C0008031,chest pain
C0031809,The physical examination
CUI-less,"The head , eyes , ears , nose , throat examination"
C0004339,auscultation
C0030987,percussion
C0520960,nontender
C0577599,nondistended
C0042782,visceromegaly
C0199900,The rectal examination
C2711635,guaiac
C0027853,His neurological examination
C0034107,Pulses
C4303631,the above-knee amputation on the right side
C0023508,a white blood count
C0018935,hematocrit
C0201992,electrolytes
C0005845,BUN
C0201975,creatinine
C0201883,amylase
C1623258,an electrocardiogram
C0039985,His chest X-ray
C0155671,acute cardiopulmonary process
C0559680,intravenous antibiotics
C0005776,evaluation of circulation
C0011079,debridement
C0188602,a toe amputation
C1960895,left foot film
C0039985,The chest X-ray
C0001314,acute disease
C1960041,diabetic small vessel disease
C0394745,regional ankle block
C0333297,chronic ulcer
C0184661,the procedure
C0009566,complications
C0184661,the procedure
C0009566,any complications
C3543005,The incision
C0205091,left
C0020162,humerus fracture
C0205091,left
C0159852,tib-fib fracture
C0262581,no known drug allergies
CUI-less,no acute distress
C0232136,carotid
C1720528,brachial
C0232142,radial
C0232148,femoral
C0230461,Left foot
C0443172,changes
C0700321,small
C0182204,Penrose drain
C2317349,intravenous
C0147814,Unasyn
C2317349,intravenous
C0147814,Unasyn
CUI-less,further
C0009566,complications
C0559269,pre-admission
C0013216,medications
C0586322,ulceration
C0586322,great toe
C0700321,small
C0205091,left
C0443172,change
C0475224,ischemic
C0439557,acute
C4510046,left great toe
C0029443,osteomyelitis
C0029443,osteomyelitis
C0812427,buttontoe amputation
C4510046,left great toe
C0199685,arterial non-invasive study
C0023216,lower extremity
C0037763,spasm
C0582802,digits
C0586322,great toe ulcer
C0205091,left
C0342649,calcified arterial system
C1299395,highly
C4510046,left great toe
C0029443,osteomyelitis
C0812427,buttontoe amputation
C0230461,left foot
C0561870,pressures
C0230445,calf
C0230426,left thigh
CUI-less,noncompressible
C0018534,the first digit
C1956346,CORONARY ARTERY DISEASE
C1956346,coronary artery disease
C0349782,Ischemic cardiomyopathy
C0397145,orthotopic heart transplantation
C0020473,hyperlipidemia
C0020538,hypertension
C4074915,coronary graft disease
C0184543,medical noncompliance
C0013516,Cardiac echocardiogram
C0397145,orthotopic heart transplantation
C0013404,dyspnea
C0010823,CMV infection
C0020538,hypertension
C0428460,poorly controlled lipids
C0085096,peripheral vascular disease
C0403447,chronic renal insufficiency
C0201975,a creatinine
C0085532,coronary angiography
C0007430,a catheterization
C4074915,coronary allograft disease
C0005558,A biopsy
CUI-less,endothelialitis
C0200638,eosinophils
C0563322,pulsed IV steroids
C0699279,Imuran
C0209368,mycophenolate Mofetil
C0039985,Chest x-ray
C0398350,cariogenic pulmonary edema
C0013516,An echocardiogram
C0232174,an ejection fraction
C0189785,an endomyocardial biopsy
C2732702,ejection
C1956346,coronary artery disease
C0340890,coronary allograft vasculopathy
C0020473,hyperlipidemia
C0085096,peripheral vascular disease
C0010823,CMV infection
C0020538,hypertension
C0011581,depression
C0040961,tricuspid regurgitation
C0031809,Examination
C0277925,cool extremities
C0005824,His blood pressure
C0034107,heart rate
C1287691,jugular venous pressure
C0232136,Carotids
C0034642,Crackles
C1720139,a left ventricular heave
C0232237,an S3 galop
C0520960,nontender
C1287726,the pulses
C0337443,a sodium
C0202194,potassium
C0005845,BUN
C0201975,creatinine
C0337438,glucose
C0018935,hematocrit
C1623258,The electrocardiogram
C0039985,chest x-ray
C0018800,enlarged heart
C0013516,The echocardiogram
C0031039,pericardial effusion
C0232174,an ejection fraction
C0020268,Hydrocortisone
C0699992,Lasix
C0018790,cardiac arrest
C0522792,intravenous fluids
C0397419,defibrillation
C0007203,CPR
C0199556,The rhythm
C0039239,sinus tachycardia
C0042514,ventricular tachycardia
C0042510,ventricular fibrillation
C0191234,A pericardiocentesis
C0336575,A transvenous pacing wire
C0035273,The resuscitation efforts
C0004398,An autopsy
C0205341,repeat
C0002978,angiogram
C2945599,mild
C0018802,congestive heart failure
C0205402,prominent
C0459963,pulmonary vessels
C0332271,worsening
C0749225,systolic dysfunction
C0439064,multiple
C0013778,cardioversions
C0522499,palpable
C0005824,blood pressure
C2317349,intravenous
C0014563,epinephrine
C2317349,intravenous
C0004259,Atropine
C2317349,intravenous
C0006675,calcium
C0018801,heart failure
C0205082,severe
C0017327,atherosclerosis
C0205081,moderate
C0205219,diffuse
C0345468,rejection
C0441800,grade
C0450345,1B
C0013516,echocardiogram
C0282662,bedside
C0340890,coronary allograft vasculopathy
CUI-less,aggressive
C1262485,decrease in all volts
C0522501,marked
C0014563,epinephrine
C2317349,intravenous
C0005367,bicarbonate
C1706498,amp
C0542537,poor
C1287078,R wave progression
C0428893,no
C0428893,measurable blood pressure
C0035222,ADULT RESPIRATORY DISTRESS SYNDROME
C0035222,adult respiratory distress syndrome
C1565662,acute renal insufficiency
C1956346,coronary artery disease
C0396783,a four vessel coronary artery bypass graft
C0020542,pulmonary hypertension
C0019196,hepatitis C
C0023890,cirrhosis
C0020541,portal hypertension
C0041909,an upper gastrointestinal bleed
CUI-less,work up
C0277877,pulmonary infiltrates
C0022660,acute renal failure
C0020542,pulmonary hypertension
C0015672,fatigue
C0018935,a hematocrit
CUI-less,two units
C0079304,an esophagogastroduodenoscopy
C0017152,gastritis
C0580174,portal hypertensive gastropathy
C0042345,varices
C0009378,A colonoscopy
C0019080,bleeding
C0060282,iron sulfate
C0041657,loss of consciousness
C0151826,substernal chest pain
C0008033,pleuritic pain
C0013404,shortness of breath
C0010200,cough
C0027051,myocardial infarction
C0032285,pneumonia
C0007562,cefuroxime
C0699992,Lasix
C0018802,congestive heart failure
C0520541,hypotensive
C0242184,hypoxic
C0021925,intubated
C0039985,chest x-ray
C1565662,acute renal insufficiency
C0028961,minimal urine output
C0013030,dopamine
C0948268,hemodynamic instability
C0013516,An echocardiogram
C0200949,Blood cultures
C0027051,myocardial infarction
C0201973,creatine kinases
C0420266,further work up
C0013030,dopamine
C0733815,Levo
C0039985,His chest x-ray
C0035222,adult respiratory distress syndrome
C0032285,pneumonia
C0042014,A urinalysis
C0005767,blood
C1261248,urine sediment
C0205177,active
C1317332,dysmorphic cells
C0369181,red cell casts
C0201530,ANCA
C1269630,anti-GBM
C0201655,anti-streptolycin
C0587178,ANA
C0201721,UPEP
C0201720,SPEP
C0203408,renal ultrasound
C0006290,a bronchoscopy
C0019080,fresh blood
C0179790,a pulmonary arterial line
C0549143,pulmonary-renal syndrome
C0472684,CVVH
C0150521,comfort care
C0472684,CVVH
C0087153,the ventilator
C0439744,concentric
C0149721,left ventricular hypertrophy
C0205082,severe
C0344893,right ventricular dilatation
C0205082,severe
C0040961,tricuspid regurgitation
C0205217,increased
C0428642,pulmonary artery pressure
C0445119,no growth
C1562879,right hemidiaphragm
C0205250,elevated
C2945599,mild
C0033687,protein uria
C0750502,significant
C0009566,complications
C0006836,candidal
C0014868,esophagitis
C0205094,anterior
C0334044,dysplasia
C0332448,infiltrate
C1261077,left lower lobe
C0199467,chest physical therapy
CUI-less,aggressive
C0205229,expanding
C0277877,pulmonary infiltrates
C0455855,right ventricular
C0455855,septal hypokinesis
C0333074,flattening
C0205111,apical
C0225883,right ventricular
C0302148,clot
C0003507,aortic stenosis
C2945599,mild
C0020542,pulmonary hypertension
C0205082,severe
CUI-less,fairly
CUI-less,quite
C0520541,hypotensive
C0205413,patchy
C0205219,diffuse
C0225730,left lung
C0332448,infiltrates
C0205413,patchy
C0332448,infiltrates
C1261076,left upper lung
C0202093,cryoglobulin
C0019196,hepatitis C
C0302148,clot
C0580836,old
C0201838,albumin
C0264700,Acute inferior myocardial infarction
C0020538,Hypertension
C0018099,Gout
C0189896,Right heart catheterization
C0085532,coronary angiography
C0004057,Aspirin
C0633084,Plavix
C0004147,Atenolol
C0264700,acute inferior myocardial infarction
C0018795,cardiac catheterization
C0162577,angioplasty
C0020538,hypertension
C0235710,chest discomfort
C0013404,shortness of breath
C1623258,An electrocardiogram
C0264700,acute inferior myocardial infarction
C0008031,the chest pain
C0018795,cardiac catheterization
C0656369,Aggrastat
C0030193,pain
C0020538,Hypertension
C0018099,gout
C0005824,Blood pressure
C0034107,The heart rate
C1287691,JVP
C0425593,an S4
C0574002,pedaledema
C0027853,The neurological examination
C1623258,The electrocardiogram
C1445957,Total cholesterol
C0202117,LDL
C0392885,HDL
C0202236,Triglycerides
C0085532,Coronary angiography
C0189896,right heart catheterization
C0009566,complications
C0001168,totally occluded
C1290385,The RCA occlusion
C0344093,intervention
C0189896,right heart catheterization
C0456165,The RA
C0428642,PA
C0445074,a mean
C0034094,PCW
C0199645,the RV tracing
C0233407,disoriented
C0013516,An echocardiogram
C1287715,the LV function
C0232174,an ejection fraction
C0232171,inferoposteriorakinesis
C0232172,hypokinesis
C0002962,angina
C0522776,Stent placement
C1261316,RCA
C0444505,Peak
C0201973,CPK
C2945599,mild
C0004153,atherosclerotic
CUI-less,quite
C0683369,confused
C0429867,upstroke
C0007272,Carotid
C0232148,Femoral
C0232148,pulses
C1287726,distal pulses
C1532338,percutaneous intervention of the RCA
C1261316,RCA
C0021308,infarct
C0225883,RV
C0021308,infarct
C0225883,RV
C2599617,A wave
C2963144,clear
C0012359,dilatation
C0687676,post
C0038257,stent
C1287077,Qwaves
C0700321,small
C0449214,3
C0449215,F
C0520886,ST elevation
C0449213,2
C0449214,3
C0449215,F
C0520887,ST Depression
C0449212,1
C0449216,L
C0441908,V2
C0449214,3
C0333183,40% stenosis
C0449638,proximal segment
C0687568,Duet
C2240374,Eosinophilia
C0004238,Atrial fibrillation
C0018802,Congestive heart failure
C4047693,Left subclavian vein thrombosis
C0042029,Urinary tract infection
C0278851,metastatic papillary carcinoma of the thyroid
C1262477,weight loss
C0013404,shortness of breath
C3714552,weakness
C0015672,fatigue
C0041912,her upper respiratory tract infection
C3714552,her weakness
CUI-less,A work up
C0023508,a white blood cell count
